oTime,o,h,l,c,v
2019-12-09T10:00:00,12600.0,12652.0,12590.0,12590.0,7285
2019-12-09T10:30:00,12590.0,12610.0,12581.0,12610.0,3404
2019-12-09T11:00:00,12610.0,12610.0,12510.0,12510.0,200
2019-12-09T11:30:00,12599.0,12599.0,12599.0,12599.0,458
2019-12-09T12:00:00,12599.0,12650.0,12599.0,12650.0,23462
2019-12-10T12:00:00,12989.0,12989.0,12980.0,12989.0,2703
2019-12-10T12:30:00,12783.0,12783.0,12783.0,12783.0,80
2019-12-11T10:00:00,13000.0,13000.0,12931.0,12931.0,12800
2019-12-11T10:30:00,12931.0,12998.0,12931.0,12997.0,6703
2019-12-11T11:00:00,12997.0,13000.0,12997.0,13000.0,9875
2019-12-11T11:30:00,12940.0,12940.0,12933.0,12933.0,4280
2019-12-11T12:00:00,12962.0,12962.0,12962.0,12962.0,277
2019-12-14T09:00:00,12996.0,12997.0,12964.0,12964.0,3026
2019-12-14T09:30:00,12964.0,12964.0,12963.0,12963.0,2870
2019-12-14T10:00:00,12968.0,12990.0,12968.0,12990.0,1603
2019-12-14T10:30:00,12990.0,12990.0,12968.0,12989.0,1306
2019-12-14T11:00:00,12980.0,12980.0,12963.0,12963.0,478
2019-12-14T11:30:00,12964.0,12964.0,12940.0,12940.0,8352
2019-12-14T12:00:00,12959.0,12997.0,12950.0,12950.0,19321
2019-12-15T09:00:00,12990.0,13000.0,12986.0,12990.0,94856
2019-12-15T09:30:00,12999.0,12999.0,12999.0,12999.0,38
2019-12-15T10:00:00,12987.0,12987.0,12895.0,12895.0,3590
2019-12-15T10:30:00,12980.0,12980.0,12980.0,12980.0,2692
